"Top Level Organization","Opportunity Owner","Created By","Opportunity Name","Brand/Logo","Opportunity Record Type","Stage","? Estimated ACV","Expansion ACV Increase","?Opportunity Locations","Location Cohort","Created Date","Close Date","Age","Lead Source","Trade Show","Opportunity Notes","Loss Reason Notes","?Type of Contract","Count Balance","Count Base/Insights","Count Compass","Count Guard","Count Recover","Count Re-engage","Count TruROI","Count TruROI+","Count White Glove"
"Freerange concepts","Matt Bullock","Peter Milillo","Freerange concepts - 6","","New Business","Demo","1800.00","","3","SMB","1/26/2026","3/31/2026","39.0000000000","SDR","","1/27/26: - Prospect: FreeRange Concepts (Kelsee Flores + team: Hallie Callison, Carolyn Campa). Opportunity owner: Matt Bullock. 
- Priority/Initiative: Aggressive 2026 growth in third-party/off-premise. Targets: Jolio 15?20% of total revenue from 3P (2025 was ~9.7%); Rustic ~10%. 
- Concepts in scope: 4 active for 3P focus (Rustic x2, Jolio; future: General Public; Bull & Barrel to be re-enabled). Mutt?s/dog park and golf course F&B not 3P priorities. 
- Current state: Uber Eats (Rustic, Jolio), DoorDash (General Public only), Bull & Barrel previously DoorDash (paused). Ops/IT manage on/off; minimal downtime issues. GMs handle chargebacks/order issues. Team of 3 runs 3P marketing; wants consolidated data, optimization, competitor visibility. 
- Pain points: Limited bandwidth, fragmented data, need true ROI vs marketplace-reported ROI, desire to avoid cannibalization; pricing sensitivity is high, especially for single-store concepts (Jolio, General Public). 
- Interest: Strong in True ROI/True ROI Plus; Recover attractive and likely ROI-positive. Guard (downtime) low priority. 
- Pricing discussed: 
 - True ROI Plus: $150/store/mo 
 - Recover: $50/store/mo 
 - Bundle: $200/store/mo (too high for some units) 
 - True ROI (BI only): $50/store/mo (more digestible for smaller brands) 
- Likely packaging: Rustic(s) ? True ROI Plus (+ Recover optional); Jolio/General Public ? True ROI + Recover ($100/store/mo) to start. 
- Next steps: Matt to send recap, pricing options, case studies, and materials for Kelsee to share with boss. Kelsee to revert next week to schedule a follow-up demo including boss. Timing: Boss unavailable this week (vendor mtgs; travel to Houston). 
- Tech access: Loop to be added as user to 3P portals (no API needed). 
- Success criteria: Data-driven campaign optimization, improved profitability/ROI, competitive positioning insights, chargeback recovery to offset fees.","","Standard","0","0","0","0","0","0","0","0","0"
"Tropical Smoothie Cafe","James Chavious","James Chavious","Tropical Smoothie Cafe","","New Business","Demo","29400.00","","50","MM","3/6/2025","4/1/2026","365.0000000000","Self Sourced","","Key Themes: Centralized strategy + local optimization Want to focus spend where it matters (e.g., Michigan crushes organically ? don?t spend there) ROI trust gap with 3Ps Reps often inflate ROI without exposing true cannibalization or margin Operational alignment TSC performs well (30-35 min delivery, low error), but wants to reduce downtime + tie uptime to ad visibility Growth-focused 1550 locations today ? 2000 by 2029 Outpacing Smoothie King by ~500-700 stores Tech stack alignment: Uses DoorDash for 1P delivery Olo for integrations (Loop has Olo sync) Yext for customer reviews (low engagement)","","Standard","0","0","0","0","0","0","0","1","0"
"Tropical Smoothie Cafe","Devyn Schwartzberg","Nick Barbo","Tropical Smoothie Cafe - Tropical Smoothie Cafe -","Tropical Smoothie Cafe","New Business","Demo","0.00","","1600","Ent","1/28/2026","2/27/2026","37.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Swensons Drive-In","Simon Salomon","Simon Salomon","Swensons Drive-In - Swensons Drive-in Restaurants -","Swensons Drive-in Restaurants","New Business","Demo","26136.00","","22","MM","10/23/2025","2/25/2026","134.0000000000","Self Sourced","RFDC","12/5/25: Ron DiNella (Swensons Drive-In) is experiencing challenges with reconciliation variances related to third-party delivery platforms and lacks visibility into order-level discrepancies and unfulfilled/canceled orders. The Organization?s solution was positioned as providing granular, order-level reconciliation, automated accounting integrations, and deeper insight into disputed charges, including a larger disputable pool than VOOSH (current provider). Ron is especially interested in the bookkeeping/?Balance? and recovery modules, specifically order-level matching and visibility into canceled/missed order reimbursements. Pricing was discussed ($99/location/month for combined modules, with modular options), compared against VOOSH?s current $50/location rate. Next steps: Ron will review offerings further and may provide third-party platform access for a side-by-side analysis to quantify potential uplift before next week?s follow-up. Decision drivers are expected to be variance reduction, financial transparency, and recovery success rates.
11/25/25: Ron DiNella (Swensons Drive-In) is currently using VOOSH for 3PD chargebacks, uptime, and pays a fixed fee. Ron views chargebacks and uptime solutions as commodity features and is unlikely to switch unless there is clear differentiation and ROI. Key interests and priorities for Swensons include: 
1) Automated and more advanced reconciliation (especially around missed/canceled orders vs. POS), 
2) In-depth analysis and automation of 3PD marketing campaigns with actual ROI tracking and prevention of organic-to-paid cannibalization, and 
3) Case studies and proof of value with ROI (especially on marketing and missed/canceled order recovery).
Ron is open to seeing anonymized/prototype reporting, white papers, or case studies?particularly regarding marketing ROI and missed/canceled order recovery?before providing data access or considering a switch. Their marketing manager (Jenna) is currently on vacation, so next steps depend on getting case studies to Ron for internal review before scheduling a follow-up. Swensons' 3PD business is ~30% of sales ($2.2M AUV, 22 locations, ~$60K/month marketing spend). Ron is highly focused on tools that drive clear financial impact and reduce manual work.","","Standard","0","0","0","0","0","0","0","0","0"
"Royal Restaurant Group","Charles Kagahastian","Nick Barbo","Royal Restaurant Group - TLO Opp","","New Business","Closed Lost","38400.00","","64","MM","3/7/2025","3/31/2026","389.0000000000","SDR","","","unresponsive","Standard","1","1","0","1","1","1","0","1","0"
"Shakey's USA","Matt Bullock","Jimmy Schrepel","Shakey's USA - Shakey's USA -","Shakey's USA","New Business","New - Meeting Set","25800.00","","43","MM","3/3/2026","4/2/2026","3.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Blaze Pizza","Alex Reyes","Danny Park","Blaze Pizza - Blaze Pizza -","Blaze Pizza","New Business","Business Case","301800.00","","252","Ent","1/20/2026","3/31/2026","45.0000000000","SDR","","1/23/26: - Buyer: Christopher Demery (Blaze Pizza) ? pursuing corporate MSA to enable franchisee opt-in
- Primary need: Royalty relief for unresolved 3P disputed orders; Loop to provide clear bi-weekly reporting to power royalty adjustments
- Scope components discussed:
 - Core: Dispute/royalty recognition + refund automation (required for relief)
 - Optional: Olo downtime monitoring/automation, reconciliation automation, marketplace marketing automation (corporate + franchise opt-in)
- Commercials: Blaze will not pay; franchisees pay Loop fees. Need pricing included in MSA for franchisees? reference
- Next steps:
 1) Loop to send MNDA via DocuSign (Chris to turn in ~24 hrs)
 2) After MNDA, Loop drafts MSA with pricing; Blaze to approve/sign
 3) Plan comms/marketing to franchisees; Loop to support materials and potential September franchise conference sponsorship
 4) Post-NDA, request limited 3P access (DoorDash/Uber) for baseline loss analysis and franchisee targeting
 5) Introduce Chance Sims (digital) for marketing coordination; potential BPAC briefing late March
- Locations: ~248?255; franchisee opt-in model
- Timing: Execute MNDA/MSA ASAP; communicate to BPAC before late March meeting","","Standard","0","0","0","0","0","0","0","0","0"
"Gillis Organization - McDs","Sarra Herlich","Brad Dressler","The Gillis Organization","McDonald's","New Business","Closed Lost","30396.00","","17","MM","10/7/2025","1/31/2026","116.0000000000","SDR","","In a deliversense contract for 2 years","Opt out before we even got to start","Opt Out","0","0","0","0","0","0","0","0","1"
"Amazing Mex Foods","Sarra Herlich","Sarra Herlich","Amazing Mex Foods - Expansion - Qdoba Mexican Eats","Qdoba Mexican Eats","Expansion","Closed Won","2400.00","","2","SMB","1/23/2026","1/23/2026","0.0000000000","Expansion","","","","Standard","1","1","0","1","1","1","1","0","0"
"Twin Peaks - Corporate - 115","Matt Bullock","Matt Bullock","Twin Peaks - Twin Peaks - 110","Twin Peaks","New Business","Demo","21000.00","","35","MM","11/12/2025","6/30/2026","114.0000000000","Self Sourced","","11/14/25: Twin Peaks Restaurants is considering bringing accounting (including AR) in-house, with a rough timeline targeting Q1 next year. Currently, all accounting and payroll is managed by InfoSync, a third-party provider. About 35 corporate stores and 80+ franchisees; some franchisees also consider bringing accounting in-house due to dissatisfaction with InfoSync. InfoSync does not dispute third-party delivery chargebacks?corporate is not disputing chargebacks currently, and there has been prior internal discussion about bringing these processes in-house.
Corporate accounting uses Flexi (report viewer only) and Business Central. POS system is Aloha. Delivery sales roughly estimated at 10?15% of total sales, varies by store/state.
Features relevant to their needs: delivery reconciliation, automated journal entry posting, chargeback dispute automation (important as currently not addressed), integration with POS, and franchise royalty calculations (though current process is simple). Tax compliance and reporting are a need, as there is some uncertainty here.
Decision pending internal alignment and potential involvement of Fat Brands (their parent), which may centralize accounting. Loop?s solution is seen as valuable if/when they bring accounting in-house?will revisit after internal decisions (likely end of January). Pricing was discussed ($50?125/store/mo depending on modules). Next step: follow up late January if no earlier update; prospect likely to get back if they proceed sooner.","","Standard","1","0","0","0","1","0","0","0","0"
"Twin Peaks - Corporate - 115","Tyrell Belle","Tyrell Belle","Twin Peaks - Corporate - 115 - Twin Peaks -","Twin Peaks","New Business","New - Meeting Set","0.00","","","Unknown","2/26/2026","3/28/2026","8.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Old Bag of Nails","Matt Bullock","Jimmy Schrepel","Old Bag of Nails - Old Bag of Nails -","Old Bag of Nails","New Business","Closed Lost","9000.00","","15","MM","12/8/2025","3/31/2026","113.0000000000","SDR","","12/12/25: Reconnected with Michael Allen (Old Bag of Nails) to review Loop?s third-party delivery profitability tools. Old Bag of Nails currently uses Toast and Restaurant365; ~12% of ~$25M annual sales is from third-party delivery (~$3M). Main pain points identified: chargeback management (of interest), and some uncertainty about ROI from third-party marketing spend (just started trials this year, not confident in impact). Store downtime and reconciliation are currently managed internally and not seen as pain points.
Demoed Loop?s chargeback automation and marketing optimization modules ? highlighted potential to recover revenue and increase ROI, with pricing at $200/month/location/module (for 15 locations, ~$3K/month). Michael wants to review internally, especially with accounting lead, and requested to revisit after the holidays due to current workload. Plan: Follow up after New Year, including tailored marketing ROI data in the next outreach to support value proposition.","very antiquated operator.. no response past initial demo","Standard","0","0","0","0","0","0","0","0","0"
"TGI Fridays","Charles Kagahastian","Brad Dressler","TGI Fridays -  -","","New Business","No Show","180000.00","","300","Ent","4/3/2025","4/15/2026","377.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Abuelo's","Alex Reyes","Tyrell Belle","Abuelo's - Abuelo's - 13","Abuelo's","New Business","Demo","31044.00","","13","MM","11/24/2025","6/2/2026","102.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"City BBQ","James Chavious","Nick Barbo","City BBQ","","New Business","Demo","45000.00","","75","Ent","4/4/2025","2/28/2026","336.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"City BBQ","Devyn Schwartzberg","Nick Barbo","City BBQ - City BBQ - 75","City BBQ","New Business","No Show","45600.00","","76","Ent","2/3/2026","3/5/2026","30.0000000000","SDR","","","","Standard","0","0","0","0","0","0","0","0","0"
"Eggs Up 901","Eric Azaren","Eric Azaren","Eggs Up 901 - Eggs Up Grill -","Eggs Up Grill","New Business","Closed Won","1788.00","","1","SMB","3/4/2026","3/6/2026","2.0000000000","Inbound","","","","Standard","0","0","0","0","0","0","0","1","1"
"Aurify Brands","Simon Salomon","Simon Salomon","Aurify Brands - Fields Good Chicken - 2","Fields Good Chicken","New Business","Closed Won","4800.00","","2","SMB","2/9/2026","1/9/2026","0.0000000000","SDR","","1/2/26: Aurify Brands is considering Loop?s marketing and operations analytics tools for their restaurant locations, with specific interest in improving store performance and marketing ROI on third-party delivery platforms (DoorDash, Uber Eats, Grubhub). Key concerns from the prospect are lack of current store volume to justify a flat fee, and desire for clear, unbiased ROI metrics. Simon presented Loop?s True ROI and True ROI+ solutions, emphasizing location-based, data-driven marketing suggestions and operational reporting (error rates, order accuracy, etc.), distinguishing them from platform-reported metrics.
Aurify requested references and proposed a low-risk trial: one store (50th Street Melt Shop), given recent sales decline due to new competition. Loop standard policy requires a minimum two-month pilot with at least five stores, but Simon agreed to discuss with management the possibility of a limited trial and/or reduced/capped fees ($99/location/month for ops tools, $150/location/month for marketing tool, $750 implementation fee per store, capped at $3,000). Aurify is open to immediate onboarding if terms are agreeable. Prospect is planning significant growth (recent acquisition of California Pizza Kitchen, upcoming Dunkin/Tropical Smoothie franchises, and another 30-store chain), so could become a high-potential account. Awaiting Simon?s follow-up on possible trial terms.
12/30/25: Opportunity follow-up notes: Initial analysis shared with Anthony Costa (Aurify Brands) regarding third-party delivery losses and potential for sales growth via targeted marketing. Recovery/downtime modules are not a top priority due to low third-party order volume; main interest is in AI-driven, location-specific DoorDash/Uber Eats marketing. Aurify?s primary sales are via Grubhub (where marketing is already optimized), but there?s interest in additional support for Uber Eats and DoorDash. Pricing for True ROI Plus ($150/location/month + $750 implementation fee, which can be split over 3 months) was provided; Anthony to review internally with Andrew and respond by Friday. Awaiting decision. Recommended to send analysis via email as requested by Anthony.
12/18/25: Aurify Brands is showing renewed interest in Loop AI, particularly for Orify brands, since there is no contractual obligation to use Otter for those stores. Anthony Costa is the main point of contact and is supportive of Loop?s marketing and recovery solutions, especially the consolidated dashboard and automated, location-specific marketing campaigns driven by True ROI Plus. Main pain points include lack of bandwidth for handling third-party disputes, limited marketing oversight, and high staff turnover on the Otter side. Anthony noted a preference for a monthly fee rather than percentage-based pricing, but flagged concerns about ROI for lower-volume stores like Maid in Lane, and is primarily focused on marketing value there. Analysis requested for 5?10 locations (3 Melt Shops, 2 Feels Good Chicken stores, possibly more if useful), to be completed ASAP with an aim for a January rollout if results are compelling. Decision maker is CEO Andrew Steinberg, with a meeting planned after Christmas/New Year for final sign-off. Anthony would like the analysis to clearly show lost revenue, ROI potential, and marketing opportunities per location. Future expansion possible to more locations and brands if initial phase is successful.","","Opt Out","0","1","0","0","1","0","0","1","1"
